Data,Asset,Net_NC,Net_Comm
1970-01-01 00:00:00.000230502,Coffee,33541,-34493
1970-01-01 00:00:00.000230502,Silver,31952,-45174
1970-01-01 00:00:00.000230502,Corn,-60633,113259
1970-01-01 00:00:00.000230502,Copper,-21742,15936
1970-01-01 00:00:00.000230502,Gold,195567,-217584
1970-01-01 00:00:00.000230502,Cocoa,57951,-62471
1970-01-01 00:00:00.000230502,Crude Oil,214845,-252905
1970-01-01 00:00:00.000230502,Wheat,-90203,83370
1970-01-01 00:00:00.000230502,EUR,173489,-221703
1970-01-01 00:00:00.000230502,VIX,-79979,80940
1970-01-01 00:00:00.000230502,USD Index,11350,-13297
1970-01-01 00:00:00.000230509,Sugar,276610,-331356
1970-01-01 00:00:00.000230509,Crude Oil,216628,-239456
1970-01-01 00:00:00.000230509,AUD,-49193,56897
1970-01-01 00:00:00.000230509,Cocoa,62029,-66804
1970-01-01 00:00:00.000230509,EUR,179422,-234260
1970-01-01 00:00:00.000230509,USD Index,11156,-12626
1970-01-01 00:00:00.000230509,Corn,-59093,103652
1970-01-01 00:00:00.000230509,Nasdaq,21387,-10922
1970-01-01 00:00:00.000230509,JPY,-61015,69162
1970-01-01 00:00:00.000230509,GBP,4528,-11528
1970-01-01 00:00:00.000230509,Wheat,-84775,80623
1970-01-01 00:00:00.000230509,VIX,-67847,70944
1970-01-01 00:00:00.000230509,Copper,-24865,19732
1970-01-01 00:00:00.000230509,Silver,32360,-46190
1970-01-01 00:00:00.000230509,Coffee,29737,-30800
1970-01-01 00:00:00.000230509,Gold,195814,-222515
1970-01-01 00:00:00.000230509,CHF,-4467,4759
1970-01-01 00:00:00.000230509,Soybeans,64275,-38568
1970-01-01 00:00:00.000230509,CAD,-42263,41957
1970-01-01 00:00:00.000230509,10Y UST,-731698,641595
1970-01-01 00:00:00.000230509,Nikkei,-2696,1547
1970-01-01 00:00:00.000230509,BTC,423,-1131
1970-01-01 00:00:00.000230509,Russell 2000,-59673,66997
1970-01-01 00:00:00.000230509,SPX,-376023,397887
1970-01-01 00:00:00.000230516,USD Index,9514,-12357
1970-01-01 00:00:00.000230516,Nasdaq,19964,-7158
1970-01-01 00:00:00.000230516,JPY,-64791,76137
1970-01-01 00:00:00.000230516,BTC,1011,-1463
1970-01-01 00:00:00.000230516,Corn,-48459,102625
1970-01-01 00:00:00.000230516,CHF,-1859,2838
1970-01-01 00:00:00.000230516,AUD,-53594,61902
1970-01-01 00:00:00.000230516,Crude Oil,191469,-215612
1970-01-01 00:00:00.000230516,GBP,12593,-17729
1970-01-01 00:00:00.000230516,Nikkei,-4527,2821
1970-01-01 00:00:00.000230516,SPX,-388721,415658
1970-01-01 00:00:00.000230516,Wheat,-81412,75798
1970-01-01 00:00:00.000230516,VIX,-54382,56035
1970-01-01 00:00:00.000230516,EUR,187089,-238333
1970-01-01 00:00:00.000230516,Sugar,270829,-323383
1970-01-01 00:00:00.000230516,Cocoa,64055,-69194
1970-01-01 00:00:00.000230516,Gold,179814,-211557
1970-01-01 00:00:00.000230516,CAD,-42990,44533
1970-01-01 00:00:00.000230516,Soybeans,38154,-11064
1970-01-01 00:00:00.000230516,Coffee,31035,-32224
1970-01-01 00:00:00.000230516,Silver,23815,-37067
1970-01-01 00:00:00.000230516,Russell 2000,-64003,70545
1970-01-01 00:00:00.000230516,Copper,-32607,28695
1970-01-01 00:00:00.000230516,10Y UST,-692442,570703
1970-01-01 00:00:00.000230523,Nasdaq,14509,-5669
1970-01-01 00:00:00.000230523,USD Index,11240,-13869
